episode,episode_reward,smoothed_reward
327,-3931.0,-184129.95
328,-5168.0,-184120.4
329,-4608.0,-184123.49000000002
330,-3396.0,-184120.51
331,-4330.0,-184124.27999999997
332,-1004248.0,-184115.36999999997
333,-3730.0,-184114.77
334,-3917.0,-154134.08
335,-4676.0,-154143.19
336,-4618.0,-154147.01
337,-4814.0,-144143.55
338,-3516.0,-144145.88000000003
339,-3740.0,-144153.5
340,-2863.0,-134157.58000000002
341,-3974.0,-124154.07999999997
342,-3913.0,-144143.09
343,-4519.0,-144146.55000000002
344,-3905.0,-144150.01
345,-4598.0,-134159.19
346,-3911.0,-124152.66
347,-4630.0,-114158.33999999998
348,-4674.0,-114158.17999999998
349,-4272.0,-114162.02999999997
350,-4286.0,-114153.33999999998
351,-4301.0,-114151.74999999999
352,-3931.0,-114153.37999999999
353,-3952.0,-114153.31999999998
354,-4680.0,-94157.69
355,-3539.0,-104157.59
356,-4270.0,-104142.12
357,-4705.0,-94136.1
358,-4076.0,-94122.94999999998
359,-3084.0,-94110.63
360,-3917.0,-94112.87
361,-3748.0,-94117.85
362,-5228.0,-84119.38
363,-4262.0,-84103.16
364,-3891.0,-84093.8
365,-3586.0,-94089.43999999999
366,-4288.0,-94099.6
367,-3976.0,-94095.79000000001
368,-3884.0,-104099.79000000001
369,-4276.0,-114102.39000000001
370,-3966.0,-114092.63
371,-1003914.0,-114084.03
372,-1003932.0,-114082.26
373,-4675.0,-114091.15000000001
374,-3936.0,-114087.31999999999
375,-4663.0,-114080.59999999998
376,-1004217.0,-114080.36999999997
377,-3688.0,-114080.05999999998
378,-4259.0,-114078.33
379,-3926.0,-114069.65000000001
380,-4284.0,-124053.75000000001
381,-4271.0,-124063.09
382,-3928.0,-124060.46999999999
383,-4663.0,-114051.87
384,-5195.0,-114059.32999999999
385,-4356.0,-114055.62999999999
386,-3900.0,-114044.68
387,-4142.0,-114041.31999999999
388,-4822.0,-114037.23999999999
389,-4276.0,-114039.79999999999
390,-3904.0,-114054.43
391,-2003551.0,-114068.68
392,-3966.0,-124062.68000000001
393,-4288.0,-124064.37000000001
394,-1003169.0,-124062.04000000001
395,-3593.0,-124065.91
396,-3954.0,-124058.34
397,-4284.0,-124064.18000000001
398,-4681.0,-134046.46
399,-3775.0,-134033.54
